iter	Passed	Remaining
356	703	1267
357	705	1265
358	707	1263
359	709	1261
360	711	1259
361	713	1257
362	715	1255
363	717	1253
364	719	1251
365	721	1249
366	723	1247
367	725	1245
368	726	1243
369	728	1241
370	730	1239
371	732	1236
372	734	1235
373	736	1233
374	739	1231
375	741	1229
376	743	1228
377	745	1226
378	747	1224
379	749	1222
380	751	1220
381	753	1219
382	755	1217
383	757	1214
384	759	1212
385	761	1210
386	763	1208
387	765	1207
388	767	1205
389	769	1203
390	771	1202
391	773	1200
392	775	1198
393	777	1196
394	780	1194
395	782	1192
396	784	1190
397	786	1189
398	788	1187
399	790	1185
400	792	1184
401	794	1182
402	796	1179
403	798	1177
404	800	1175
405	802	1174
406	804	1172
407	806	1170
408	808	1168
409	811	1167
410	812	1164
411	814	1162
412	816	1161
413	818	1159
414	821	1157
415	823	1155
416	825	1154
417	827	1151
418	829	1150
419	831	1148
420	833	1146
421	835	1144
422	837	1142
423	839	1140
424	841	1138
425	843	1136
426	845	1134
427	847	1133
428	849	1131
429	852	1129
430	853	1127
431	855	1125
432	857	1123
433	859	1121
434	861	1119
435	863	1117
436	865	1115
437	867	1113
438	870	1111
439	872	1110
440	874	1108
441	876	1106
442	878	1104
443	880	1102
444	882	1100
445	884	1098
446	886	1096
447	888	1094
448	890	1092
449	892	1090
450	894	1088
451	896	1087
452	898	1085
453	900	1083
454	902	1081
455	904	1079
456	907	1077
457	909	1075
458	911	1074
459	913	1072
460	915	1070
461	917	1068
462	919	1066
463	921	1064
464	923	1062
465	925	1060
466	927	1058
467	929	1057
468	932	1055
469	934	1053
470	936	1051
471	938	1049
472	940	1047
473	942	1045
474	944	1043
475	946	1041
476	948	1039
477	950	1037
478	952	1036
479	954	1034
480	957	1032
481	959	1030
482	961	1028
483	963	1027
484	965	1025
485	967	1023
486	969	1021
487	971	1019
488	973	1017
489	975	1015
490	977	1013
491	979	1011
492	981	1009
493	984	1007
494	986	1005
495	988	1003
496	989	1001
497	992	1000
498	994	998
499	996	996
500	998	994
501	1000	992
502	1002	990
503	1004	988
504	1006	986
505	1008	984
506	1010	982
507	1012	980
508	1014	978
509	1016	976
510	1019	975
511	1020	973
512	1023	971
513	1025	969
514	1027	967
515	1029	965
516	1031	963
517	1033	961
518	1035	959
519	1037	957
520	1039	955
521	1042	954
522	1044	952
523	1046	950
524	1048	948
525	1050	946
526	1051	944
527	1053	942
528	1055	940
529	1058	938
530	1060	936
531	1062	934
532	1064	932
533	1066	930
534	1068	928
535	1070	926
536	1072	924
537	1074	923
538	1076	921
539	1078	919
540	1081	917
541	1083	915
542	1085	913
543	1087	911
544	1089	909
545	1091	907
546	1093	905
547	1095	903
548	1097	901
549	1099	899
550	1101	897
551	1103	895
552	1105	893
553	1107	891
554	1109	889
555	1111	887
556	1113	885
557	1116	884
558	1118	882
559	1120	880
560	1122	878
561	1124	876
562	1126	874
563	1127	871
564	1129	869
565	1131	867
566	1133	865
567	1135	863
568	1137	861
569	1139	859
570	1141	857
571	1144	856
572	1146	854
573	1148	852
574	1150	850
575	1152	848
576	1154	846
577	1156	844
578	1158	842
579	1160	840
580	1162	838
581	1165	836
582	1167	835
583	1170	833
584	1172	831
585	1174	829
586	1176	827
587	1178	825
588	1180	823
589	1183	822
590	1185	820
591	1187	818
592	1189	816
593	1191	814
594	1193	812
595	1196	810
596	1198	809
597	1200	807
598	1202	805
599	1204	803
600	1206	801
601	1208	799
602	1210	797
603	1212	795
604	1214	793
605	1216	791
606	1218	789
607	1220	787
608	1222	785
609	1224	783
610	1226	781
611	1229	779
612	1230	777
613	1232	775
614	1234	773
615	1236	771
616	1238	769
617	1240	767
618	1243	765
619	1244	763
620	1246	760
621	1248	759
622	1250	756
623	1253	755
624	1255	753
625	1257	751
626	1259	749
627	1261	747
628	1263	745
629	1265	743
630	1267	741
631	1269	739
632	1271	736
633	1273	734
634	1275	732
635	1277	730
636	1279	728
637	1281	726
638	1283	724
639	1284	722
640	1286	720
641	1289	718
642	1290	716
643	1292	714
644	1294	712
645	1296	710
646	1298	708
647	1300	706
648	1302	704
649	1304	702
650	1306	700
651	1308	698
652	1310	696
653	1312	694
654	1314	692
655	1317	690
656	1319	688
657	1321	686
658	1323	684
659	1325	682
660	1327	680
661	1329	678
662	1331	676
663	1333	674
664	1335	672
665	1337	670
666	1339	668
667	1341	666
668	1343	664
669	1345	662
670	1347	660
671	1350	658
672	1352	656
673	1354	654
674	1356	652
675	1358	650
676	1359	648
677	1361	646
678	1363	644
679	1365	642
680	1367	640
681	1369	638
682	1371	636
683	1373	634
684	1375	632
685	1377	630
686	1379	628
687	1381	626
688	1383	624
689	1385	622
690	1387	620
691	1389	618
692	1391	616
693	1393	614
694	1395	612
695	1397	610
696	1399	608
697	1401	606
698	1403	604
699	1405	602
700	1407	600
701	1409	598
702	1411	596
703	1413	594
704	1415	592
705	1417	590
706	1419	588
707	1421	586
708	1423	584
709	1425	582
710	1427	580
711	1429	578
712	1431	576
713	1432	573
714	1434	571
715	1437	570
716	1439	568
717	1441	566
718	1443	564
719	1445	562
720	1447	560
721	1449	558
722	1451	556
723	1453	554
724	1456	552
725	1458	550
726	1460	548
727	1462	546
728	1464	544
729	1466	542
730	1468	540
731	1470	538
732	1473	536
733	1475	534
734	1477	532
735	1479	530
736	1481	528
737	1483	526
738	1485	524
739	1487	522
740	1489	520
741	1491	518
742	1493	516
743	1495	514
744	1497	512
745	1499	510
746	1501	508
747	1504	506
748	1506	504
749	1508	502
750	1509	500
751	1511	498
752	1513	496
753	1516	494
754	1517	492
755	1519	490
756	1522	488
757	1524	486
758	1526	484
759	1527	482
760	1529	480
761	1531	478
762	1534	476
763	1536	474
764	1538	472
765	1540	470
766	1542	468
767	1544	466
768	1546	464
769	1548	462
770	1550	460
771	1552	458
772	1555	456
773	1556	454
774	1558	452
775	1560	450
776	1563	448
777	1565	446
778	1567	444
779	1569	442
780	1571	440
781	1573	438
782	1575	436
783	1577	434
784	1579	432
785	1581	430
786	1584	428
787	1586	426
788	1588	424
789	1590	422
790	1592	420
791	1594	418
792	1596	416
793	1598	414
794	1600	412
795	1602	410
796	1604	408
797	1606	406
798	1608	404
799	1610	402
800	1612	400
801	1614	398
802	1616	396
803	1618	394
804	1620	392
805	1622	390
806	1624	388
807	1626	386
808	1628	384
809	1630	382
810	1632	380
811	1634	378
812	1636	376
813	1638	374
814	1640	372
815	1642	370
816	1644	368
817	1646	366
818	1648	364
819	1650	362
820	1652	360
821	1654	358
822	1656	356
823	1658	354
824	1660	352
825	1662	350
826	1664	348
827	1666	346
828	1668	344
829	1670	342
830	1672	340
831	1674	338
832	1676	336
833	1678	334
834	1680	332
835	1682	330
836	1684	328
837	1686	326
838	1688	324
839	1690	322
840	1692	320
841	1694	318
842	1696	316
843	1698	314
844	1700	312
845	1703	310
846	1705	308
847	1707	306
848	1709	304
849	1711	301
850	1713	299
851	1715	297
852	1717	295
853	1719	293
854	1721	291
855	1723	289
856	1725	287
857	1727	285
858	1729	283
859	1731	281
860	1733	279
861	1735	277
862	1737	275
863	1739	273
864	1741	271
865	1743	269
866	1745	267
867	1747	265
868	1750	263
869	1752	261
870	1754	259
871	1756	257
872	1758	255
873	1761	253
874	1764	252
875	1766	250
876	1769	248
877	1772	246
878	1774	244
879	1777	242
880	1780	240
881	1783	238
882	1785	236
883	1788	234
884	1791	232
885	1793	230
886	1796	228
887	1799	226
888	1802	225
889	1804	223
890	1807	221
891	1810	219
892	1813	217
893	1816	215
894	1818	213
895	1821	211
896	1823	209
897	1826	207
898	1829	205
899	1831	203
900	1834	201
901	1836	199
902	1838	197
903	1841	195
904	1843	193
905	1849	191
906	1852	189
907	1855	187
908	1857	185
909	1860	183
910	1862	181
911	1865	179
912	1867	177
913	1870	175
914	1872	173
915	1874	171
916	1877	169
917	1879	167
918	1881	165
919	1884	163
920	1886	161
921	1888	159
922	1891	157
923	1893	155
924	1895	153
925	1898	151
926	1900	149
927	1902	147
928	1904	145
929	1907	143
930	1909	141
931	1911	139
932	1914	137
933	1916	135
934	1919	133
935	1921	131
936	1923	129
937	1926	127
938	1928	125
939	1930	123
940	1933	121
941	1935	119
942	1938	117
943	1940	115
944	1942	113
945	1945	111
946	1947	109
947	1949	106
948	1952	104
949	1954	102
950	1956	100
951	1958	98
952	1961	96
953	1963	94
954	1965	92
955	1968	90
956	1970	88
957	1972	86
958	1975	84
959	1977	82
960	1979	80
961	1982	78
962	1984	76
963	1986	74
964	1989	72
965	1991	70
966	1994	68
967	1996	66
968	1998	63
969	2001	61
970	2003	59
971	2005	57
972	2007	55
973	2010	53
974	2012	51
975	2014	49
976	2016	47
977	2019	45
978	2021	43
979	2023	41
980	2026	39
981	2028	37
982	2030	35
983	2032	33
984	2035	30
985	2037	28
986	2039	26
987	2041	24
988	2043	22
989	2045	20
990	2047	18
991	2050	16
992	2052	14
993	2054	12
994	2056	10
995	2058	8
996	2060	6
997	2062	4
998	2065	2
999	2067	0
