iter	RMSE
253	1826.758176
254	1815.440369
255	1804.436689
256	1792.812614
257	1782.15725
258	1770.96636
259	1759.904888
260	1749.078979
261	1738.519813
262	1728.045795
263	1717.439843
264	1706.997005
265	1696.529736
266	1686.559102
267	1676.383806
268	1665.620839
269	1655.239334
270	1645.00357
271	1634.865754
272	1625.003845
273	1614.973564
274	1605.11131
275	1595.232796
276	1585.34462
277	1575.344051
278	1565.642552
279	1555.602699
280	1546.035725
281	1536.299719
282	1526.908747
283	1517.202714
284	1507.679736
285	1498.350239
286	1488.92788
287	1479.712985
288	1470.320773
289	1461.116233
290	1451.686647
291	1442.50622
292	1433.416528
293	1424.632156
294	1415.736825
295	1407.20836
296	1398.427071
297	1389.830802
298	1380.982612
299	1372.164638
300	1363.63245
301	1355.155468
302	1346.518352
303	1337.945285
304	1329.462749
305	1321.20677
306	1312.811888
307	1304.672781
308	1296.421301
309	1288.227737
310	1280.063908
311	1272.14401
312	1264.146721
313	1256.264857
314	1248.490825
315	1240.626413
316	1232.976599
317	1225.360159
318	1217.653973
319	1210.155727
320	1202.553826
321	1195.004779
322	1187.646063
323	1180.199113
324	1172.80384
325	1165.609719
326	1158.314408
327	1151.230465
328	1144.033975
329	1136.88729
330	1129.790031
331	1122.741822
332	1115.742295
333	1108.791085
334	1101.887832
335	1095.032181
336	1088.223782
337	1081.46229
338	1074.747363
339	1068.078663
340	1061.455859
341	1054.878621
342	1048.346624
343	1041.859548
344	1035.417074
345	1029.01889
346	1022.664684
347	1016.354151
348	1010.086988
349	1003.862893
350	997.6815718
351	991.5427294
352	985.4460758
353	979.3913237
354	973.3781886
355	967.4063891
356	961.4756465
357	955.585685
358	949.7362312
359	943.9270149
360	938.157768
361	932.4282253
362	926.7381239
363	921.0872035
364	915.4752062
365	909.9018763
366	904.3669607
367	898.8702083
368	893.4113704
369	887.9902006
370	882.6064545
371	877.1583033
372	871.7156867
373	866.4383227
374	861.0543923
375	855.7201768
376	850.5470553
377	845.3144011
378	840.073749
379	834.8693043
380	829.8313789
381	824.6955853
382	819.6070485
383	814.5534847
384	809.5346673
385	804.5503708
386	799.600372
387	794.684449
388	789.9045207
389	785.0830989
390	780.2652802
391	775.4695423
392	770.814806
393	766.0826236
394	761.3833412
395	756.7272472
396	752.0929058
397	747.5010441
398	742.9691393
399	738.5242973
400	734.0143567
401	729.5457705
402	725.0983436
403	720.6915925
404	716.3915669
405	712.1215578
406	707.7916528
407	703.5014519
408	699.3163755
409	695.0833214
410	690.8704512
411	686.6962323
412	682.5511191
413	678.5027527
414	674.4040038
415	670.3428816
416	666.301408
417	662.3596682
418	658.3723984
419	654.4839192
420	650.622786
421	646.7227166
422	642.8500117
423	639.0044987
424	635.1777501
425	631.4432313
426	627.676119
427	623.9922672
428	620.2758378
429	616.5856127
430	612.9214271
431	609.335153
432	605.7203899
433	602.1311908
434	598.5673953
435	595.0762592
436	591.6099149
437	588.1171152
438	584.6491109
439	581.2525673
440	577.8802169
441	574.4814396
442	571.106865
443	567.802572
444	564.5218892
445	561.2148194
446	557.9313751
447	554.671409
448	551.4347751
449	548.2628053
450	545.0703338
451	541.9419715
452	538.7931171
453	535.6668983
454	532.6020462
455	529.5186363
456	526.4960565
457	523.4549277
458	520.4740972
459	517.4747284
460	514.5351308
461	511.5770079
462	508.6781336
463	505.760749
464	502.8645508
465	500.024948
466	497.1687357
467	494.368614
468	491.5518963
469	488.7557367
470	486.0130607
471	483.2556672
472	480.5184628
473	477.8321668
474	475.1655769
475	472.4842946
476	469.8227258
477	467.2111213
478	464.5866765
479	462.0117302
480	459.4239544
481	456.8852156
482	454.3336598
483	451.8306836
484	449.3149043
485	446.8178075
486	444.366811
487	441.9048328
488	439.4885141
489	437.0612249
490	434.6791584
491	432.286134
492	429.9378996
493	427.578721
494	425.2639037
495	422.9381574
496	420.6563474
497	418.3636247
498	416.1144175
499	413.8543149
500	411.6373108
501	409.4094299
502	407.1984382
503	405.0281815
504	402.8488197
505	400.7097914
506	398.561673
507	396.4534904
508	394.3362339
509	392.2585189
510	390.1717473
511	388.1241265
512	386.0674673
513	384.0495719
514	381.8639669
515	379.8517892
516	377.8772742
517	375.9180096
518	373.7925096
519	371.8374703
520	369.9205187
521	367.8401831
522	365.9516225
523	363.9017132
524	362.0163205
525	360.1687862
526	358.1626828
527	356.3426874
528	354.3661157
529	352.5733232
530	350.7679929
531	349.001785
532	347.0804059
533	345.1749882
534	343.4478699
535	341.7075394
536	340.0061923
537	338.1543083
538	336.4787056
539	334.6544944
540	333.0043218
541	331.317141
542	329.6917153
543	327.9191381
544	326.1615492
545	324.5726582
546	322.8416047
547	321.2770778
548	319.6321496
549	318.091141
550	316.5626085
551	314.9539537
552	313.4485027
553	311.8649098
554	310.3428916
555	308.8336072
556	307.3369583
557	305.852848
558	304.3811806
559	302.9218618
560	301.4747984
561	300.0398985
562	298.5486351
563	297.1352174
564	295.7337112
565	294.3440284
566	292.9660823
567	291.599401
568	290.167762
569	288.8210593
570	287.4853944
571	286.1605018
572	284.8464928
573	283.4633379
574	282.0720612
575	280.6932679
576	279.3265745
577	277.9721642
578	276.6296556
579	275.3518814
580	274.0400744
581	272.7299776
582	271.4317558
583	270.1947243
584	268.9186286
585	267.6538226
586	266.4004976
587	265.1784649
588	263.9430063
589	262.7401938
590	261.4751351
591	260.1775303
592	258.9812237
593	257.8148413
594	256.6382302
595	255.4900383
596	254.2382578
597	252.9986017
598	251.8616124
599	250.7274468
600	249.6211442
601	248.4183458
602	247.3292734
603	246.2369789
604	245.2020555
605	244.1019649
606	242.8658909
607	241.8579374
608	240.8121931
609	239.8199582
610	238.7909261
611	237.7713495
612	236.7611588
613	235.7990035
614	234.8050665
615	233.8203299
616	232.8447257
617	231.9118226
618	230.9520241
619	230.0011765
620	229.0592128
621	228.1544567
622	227.2273813
623	226.2621949
624	225.3507256
625	224.4018688
626	223.50578
627	222.5729999
628	221.692
629	220.7751093
630	219.9090524
631	219.0077464
632	218.1251003
633	217.2404566
634	216.3736565
635	215.635	217.636	214.636	216.3072863
637	215.487186
638	214.7001659
639	213.9204693
640	213.147858
641	212.3799991
642	211.6191742
643	210.840794
644	210.0937267
645	209.3523161
646	208.6175336
647	207.7642222
648	207.0433452
649	206.343399
650	205.6098194
651	204.9064478
652	204.0893093
653	203.3988056
654	202.5970352
655	201.9192205
656	201.205914
657	200.4249229
658	199.6526873
659	198.8886859
660	198.0788248
661	197.3302039
662	196.5898213
663	195.7537096
664	195.0283164
665	194.3680535
666	193.6560836
667	192.8501525
668	192.1525805
669	191.4626085
670	190.7275497
671	190.1389331
672	189.5559068
673	188.8241486
674	188.2674485
675	187.549844
676	186.9016493
677	186.200074
678	185.5663933
679	184.9014876
680	184.2809435
681	183.60831
682	183.001554
683	182.2260719
684	181.6325008
685	180.9874587
686	180.2433394
687	179.6680893
688	178.9393331
689	178.3760984
690	177.7630106
691	177.2121145
692	176.5096793
693	175.9702656
694	175.381845
695	174.6902896
696	174.1677002
697	173.5984786
698	172.9343608
699	172.4275389
700	171.8760779
701	171.3802349
702	170.7389324
703	170.2046593
704	169.7236552
705	169.1679277
706	168.6972107
707	168.0842012
708	167.5767717
709	167.1202103
710	166.5247808
711	166.0774377
712	165.5902074
713	165.1090245
714	164.6756344
715	164.105834
716	163.6812002
717	163.2614871
718	162.846209
719	162.4355337
720	162.0292087
721	161.6271105
722	161.2294537
723	160.427423
724	160.0356981
725	159.6485765
726	158.8671272
727	158.4861765
728	157.7229789
729	157.3480674
730	156.8396169
731	156.4715509
732	156.1077938
733	155.733908
734	155.001198
735	154.6463459
736	154.2956428
737	153.9485919
738	153.6055378
739	153.2661252
740	152.9302524
741	152.5830047
742	151.4122996
743	151.0864679
744	149.9383472
745	148.971615
746	148.6412114
747	147.5290697
748	147.2053549
749	146.2728983
750	145.1957564
751	144.8535975
752	143.7977402
753	143.502331
754	142.6153883
755	142.0580706
756	141.770215
757	140.9020135
758	139.9901119
759	139.4427933
760	139.1649474
761	138.3246164
762	137.4967055
763	137.2269069
764	136.284044
765	136.0319136
766	135.1762735
767	134.9288356
768	134.1410952
769	133.1818359
770	132.9415575
771	132.0030201
772	131.131022
773	130.8971641
774	129.9912516
775	129.7618546
776	128.9274049
777	128.3059809
778	127.4803757
779	126.9947619
780	126.774189
781	125.9687725
782	125.3729897
783	125.1572021
784	124.4754281
785	123.7032438
786	123.1259329
787	122.3635664
788	122.156529
789	121.3646695
790	120.8059314
791	120.172118
792	119.9717448
793	119.2575245
794	119.0611864
795	118.459947
796	117.5547795
797	117.1059472
798	116.664323
799	116.0816843
800	115.5080502
801	115.3221736
802	114.4550411
803	114.0267985
804	113.3426198
805	112.7860207
806	112.3697994
807	111.7067346
808	111.1661346
809	110.5205735
810	110.1103898
811	109.5862104
812	108.9609006
813	108.4499554
814	107.8411066
815	107.3430426
816	106.7502069
817	106.3935691
818	105.910349
819	105.564182
820	104.9919147
821	104.5230824
822	104.1894495
823	103.6346014
824	103.3109258
825	102.8581164
826	102.3201502
827	102.0081141
828	101.5458796
829	101.2415576
830	100.7876172
831	100.4909537
832	100.0451476
833	99.75584493
834	99.32482599
835	99.04275936
836	98.90014035
837	98.47113561
838	98.0556662
839	97.57771617
840	97.30513265
841	97.03848373
842	96.66171923
843	96.19548835
844	96.06197353
845	95.66994906
846	95.2836855
847	94.8233029
848	94.37063591
849	94.11559505
850	93.86613791
851	93.73955663
852	93.36841181
853	92.93517206
854	92.50153263
855	92.26053077
856	92.13858778
857	91.78035237
858	91.42750991
859	91.00541583
860	90.57677585
861	90.16723225
862	89.75140193
863	89.42054938
864	89.01731056
865	88.6269293
866	88.2301175
867	88.00779046
868	87.61783619
869	87.40095515
870	87.18901784
871	87.08102239
872	86.81522995
873	86.55300722
874	86.44699157
875	85.88523979
876	85.6829733
877	85.57917449
878	85.02254951
879	84.91994117
880	84.8185232
881	84.55243477
882	84.28995335
883	84.19038527
884	83.93182037
885	83.74158726
886	83.48719018
887	83.39024477
888	83.13963209
889	83.04406591
890	82.79717951
891	82.5536281
892	82.37190525
893	82.27879834
894	82.03947696
895	81.94767718
896	81.71190225
897	81.47930545
898	81.39146788
899	81.16233203
900	80.93935686
901	80.71602834
902	80.48150123
903	80.26137514
904	79.9080794
905	79.56328569
906	79.22680255
907	78.99556094
908	78.66721228
909	78.43901995
910	78.11863128
911	78.03807224
912	77.69421395
913	77.47055284
914	77.39232355
915	77.08706409
916	76.86696701
917	76.79077583
918	76.46115866
919	76.24568555
920	75.92511906
921	75.85175305
922	75.53958313
923	75.3297003
924	75.0261033
925	74.95553368
926	74.88580492
927	74.59081962
928	74.38686601
929	74.09998709
930	74.03291666
931	73.75355688
932	73.55477145
933	73.28308744
934	73.21857308
935	73.02382726
936	72.76020073
937	72.69755406
938	72.48334111
939	72.29259058
940	72.08268208
941	71.89444914
942	71.70864305
943	71.50298629
944	71.23767187
945	70.97564232
946	70.7734751
947	70.51441464
948	70.25855976
949	70.05979423
950	69.80683229
951	69.55699917
952	69.50075183
953	69.30585801
954	69.05905558
955	68.81530626
956	68.62363697
957	68.38263418
958	68.14461235
959	68.09091978
960	67.9029276
961	67.66778338
962	67.43019999
963	67.20066383
964	67.01544017
965	66.78323481
966	66.55890591
967	66.33735517
968	66.11325594
969	65.89698607
970	65.52958954
971	65.33398348
972	65.13725177
973	64.94278629
974	64.71632628
975	64.49433173
976	64.27671385
977	64.06338543
978	63.85426085
979	63.64977509
980	63.44820724
981	63.24412624
982	63.04588627
983	62.85046923
984	62.6513253
985	62.47452538
986	62.42972968
987	62.25539959
988	62.05998478
989	61.88767142
990	61.71765167
991	61.653681
992	61.48609602
993	61.19076532
994	61.02501056
995	60.96279444
996	60.79940592
997	60.50931497
998	60.37324524
999	60.21150539
8.8120087
3417
