feature,importance,model,importance_type,rank
Feature_97,56.755609259099295,BayesianRidge,coef_ (absolute values),94
Feature_121,52.329994070368514,BayesianRidge,coef_ (absolute values),95
Feature_60,47.495120351102884,BayesianRidge,coef_ (absolute values),96
Feature_52,46.57503636311594,BayesianRidge,coef_ (absolute values),97
Feature_55,45.74358096380536,BayesianRidge,coef_ (absolute values),98
Feature_43,45.63252563589492,BayesianRidge,coef_ (absolute values),99
Feature_33,43.63792672684014,BayesianRidge,coef_ (absolute values),100
Feature_72,40.66102640968808,BayesianRidge,coef_ (absolute values),101
Feature_107,40.57413073858197,BayesianRidge,coef_ (absolute values),102
Feature_83,38.775528890247415,BayesianRidge,coef_ (absolute values),103
Feature_30,38.562261946197125,BayesianRidge,coef_ (absolute values),104
Feature_75,27.09396898335089,BayesianRidge,coef_ (absolute values),105
Feature_48,25.42764824164398,BayesianRidge,coef_ (absolute values),106
Feature_23,20.803652462974757,BayesianRidge,coef_ (absolute values),107
Feature_2,20.375785214375348,BayesianRidge,coef_ (absolute values),108
Feature_50,19.740354922694962,BayesianRidge,coef_ (absolute values),109
Feature_112,19.363609742056383,BayesianRidge,coef_ (absolute values),110
Feature_78,18.683091986446865,BayesianRidge,coef_ (absolute values),111
Feature_77,13.562948875638625,BayesianRidge,coef_ (absolute values),112
Feature_73,12.810729558132039,BayesianRidge,coef_ (absolute values),113
Feature_27,9.860271067070423,BayesianRidge,coef_ (absolute values),114
Feature_22,9.75503112711005,BayesianRidge,coef_ (absolute values),115
Feature_63,9.214634945805685,BayesianRidge,coef_ (absolute values),116
Feature_116,8.921467620524794,BayesianRidge,coef_ (absolute values),117
Feature_32,8.053609345048928,BayesianRidge,coef_ (absolute values),118
Feature_31,7.413529041122013,BayesianRidge,coef_ (absolute values),119
Feature_34,6.1155937424465066,BayesianRidge,coef_ (absolute values),120
Feature_6,5.934559317081337,BayesianRidge,coef_ (absolute values),121
Feature_9,4.5831047449188445,BayesianRidge,coef_ (absolute values),122
Feature_68,2.064918243202719e-11,BayesianRidge,coef_ (absolute values),123
