Feature,communication 1_GradientBoostingRegressor,communication 2_BayesianRidge,communication 3_Lasso,government 1_GradientBoostingRegressor,government 2_LinearRegression,government 3_Lasso,insurance 1_GradientBoostingRegressor,insurance 2_Lasso,insurance 3_LassoLars,medical 1_LGBMRegressor,medical 2_GradientBoostingRegressor,medical 3_LassoLars,serviceindustry 1_GradientBoostingRegressor,serviceindustry 2_BayesianRidge,serviceindustry 3_Lasso
external_eef_industry_sector_service_industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010622069190594362,72.23207983800748,58.69081100062129
project_prf_cost_currency_united_states_dollar,0.0,0.0,0.0,8.91173090610342e-06,68.267333984375,52.43659070344492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_pmf_development_methodologies_personal_software_process_psp,0.0,0.0,0.0,0.0,0.0,0.0,0.0010251466314383285,54.267413584402675,62.56400603788724,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_server_roles_mail_server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003877170302615837,58.657651084236974,56.14376700689396
external_eef_organisation_type_media,0.004778888782603444,58.447248893126215,53.90207566517534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_pmf_prototyping_used_missing,0.00037862254274806845,2.426622867017487,0.0,0.0,0.0,0.0,0.0030780869482820838,50.46924558183145,52.47325920078736,0.0,0.0,0.0,0.0,0.0,0.0
project_prf_currency_multiple_no,0.0,0.0,0.0,0.0,54.86053466796875,48.41940964940531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_electricity_gas_water,0.0,0.0,0.0,0.0,0.0,0.0,0.0003561239013355743,38.99661483717614,46.48654979077031,0.0,0.0,0.0,0.0,0.0,0.0
project_prf_cost_currency_canada_dollar,0.0,0.0,0.0,0.0012831218676825492,46.89585876464844,37.38462765318927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_energy,0.0,0.0,0.0,0.0,0.0,0.0,0.0003092458862609697,37.09125260870667,43.9155236942621,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_industry_sector_insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.00017472910279610723,35.365459877776956,44.95527300357886,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_data_quality_rating_d,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.90519755506324,30.539333934245658,4.0,8.812679935491539e-05,18.154903574945827,0.0,0.0,0.0
project_prf_case_tool_used_don_t_know,0.0,0.0,0.0,0.0,0.0,0.0,0.0025671954022486254,33.543238143507764,41.914235644939644,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_server_roles_messaging_server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017578731852041136,38.562261946197125,34.02367756975667
external_eef_organisation_type_telecommunication,0.003136362516930655,38.298020643275045,34.26043026551992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_server_roles_object_component_server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005784662452003692,43.63792672684014,28.804018500502806
external_eef_organisation_type_communications,0.0018409201812089942,38.90839968253984,33.49025531436495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_language_type_apg,0.0,0.0,0.0,0.0,33.25390625,24.19385566161766,0.00015690164521525325,0.0,7.317161196637092,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_client_server_not_applicable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0030041600130557484,38.775528890247415,23.840834730675986
external_eef_organisation_type_government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0049086243024068,7.88511176872199,0.0,0.0,49.803998310821534,0.0,0.0,0.0
external_eef_industry_sector_utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.0012813870167056915,20.007832596503295,28.148412797524898,0.0,0.0,0.0,0.0,0.0,0.0
project_prf_relative_size_xxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.696109171407194,0.0,0.0,0.0
external_eef_organisation_type_telecommunications,0.0005315328694067474,24.172555068553702,12.810650601609609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_virtual_assistants_lingubots,0.007878095944950559,21.193475127364003,11.159368843381833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_banking_insurance_stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,27.552923268635865,0.0,0.0,0.0
tech_tf_architecture_multi_tier_client_server,0.0,5.5001826011627095,0.0,0.0,0.0,0.0,0.0,0.0,6.586602846152559,2.0,0.0,15.151777108043833,0.0,0.0,0.0
process_pmf_development_methodologies_timeboxing,0.0009205338857707864,19.565799243299928,9.308309383196361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_pmf_development_methodologies_rapid_application_development_rad,0.0,17.649709370549495,10.342951324522874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_client_roles_web_public_interface,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000402950411532106,20.803652462974757,6.067450314488788
external_eef_organisation_type_transport_and_storage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23.24920406110972,0.0,0.0,0.0
tech_tf_development_platform_hand_held,0.0,14.765720199179672,7.450598253972217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
process_pmf_development_methodologies_lean,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.849662679324552e-05,18.788093213539334,0.0,0.0,0.0
external_eef_organisation_type_utilities,0.0,0.0,0.0,0.0,0.0,0.0,0.000691778270263332,5.373319592606517,12.964177310551719,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_general_public_mobile_phone_end_user,0.0,13.296027430977293,4.628259343602664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_financial_banking_insurance_stock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.89560621957282,0.0,0.0,0.0
process_pmf_development_methodologies_it_unified_process_itup,0.0,12.400806327673992,4.322093364707838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_education_institution,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.69594601910942,0.0,0.0,0.0
external_eef_organisation_type_financial_property_and_business_services,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.57698741507329,0.0,0.0,0.0
external_eef_organisation_type_banking,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.470436337941358,0.0,0.0,0.0
tech_tf_server_roles_security_authentication,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012948285833821389,6.1155937424465066,4.106893372915465
tech_tf_server_roles_ftp_server,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002535252131988441,9.860271067070423,0.0
tech_tf_client_roles_security,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006001793960578427,9.75503112711005,0.0
tech_tf_server_roles_multi_user_legacy_application,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006140693493202985,8.053609345048928,0.0
external_eef_organisation_type_telecom_and_networking,0.0,7.790880214203112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
project_prf_cost_currency_missing,0.0,0.0,0.0,0.0,7.474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tech_tf_server_roles_missing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005292168203034188,7.413529041122013,0.0
external_eef_organisation_type_medical_and_health_care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002507293260819167,7.038979997941778,0.0,0.0,0.0
project_prf_team_size_group_61_70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.089297576171286,0.0,0.0,0.0,0.0,0.0,0.0
project_prf_relative_size_xxxl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.936577939713507,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6187257845784595,0.0,0.0,0.0,0.0,0.0,0.0
process_pmf_development_methodologies_joint_application_development_jad,0.0,0.0,0.0,0.0,0.0,0.0,4.266870249898479e-05,0.0,3.025762947137319,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_organisation_type_telecom,0.0023611114707990737,2.5606011459975733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
external_eef_industry_sector_communication,0.0,3.271407007508452e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
