feature,weight
intercept,3.6543509443320756e-16
project_prf_year_of_project,0.04371408512350659
external_eef_industry_sector,-0.06145822402505266
external_eef_organisation_type,0.09868653358668812
project_prf_application_type,0.05990109886534709
tech_tf_primary_programming_language,-0.0019054857626874184
project_prf_functional_size,0.1735581818598226
project_prf_relative_size,-0.3844640509304355
project_prf_normalised_work_effort_level_1,0.3212576397830152
project_prf_team_size_group,0.0457581977574689
project_prf_max_team_size,0.2024553624738037
process_pmf_development_methodologies,-0.1373129849813413
process_pmf_docs,0.019108985004436193
tech_tf_tools_used,-0.009433883997061018
external_eef_data_quality_rating_b,-0.02824065631971647
project_prf_application_group_business_application,-0.05337267392910248
project_prf_application_group_business_application__infrastructure_software,-0.0026218085921801363
project_prf_application_group_infrastructure_software,-0.020996378425937746
project_prf_application_group_mathematically_intensive_application,-0.00239056106484656
project_prf_application_group_mathematically_intensive_application_1,0.026710433770093137
project_prf_application_group_real_time_application,0.049362229958429905
project_prf_development_type_new_development,0.09103293698690319
project_prf_development_type_re_development,0.041742781196730035
tech_tf_development_platform_hand_held,-0.0055518576393209645
tech_tf_development_platform_mf,0.07773478345333527
tech_tf_development_platform_mr,0.026309346561640603
tech_tf_development_platform_multi,0.002667802372950914
tech_tf_development_platform_pc,-0.03851240118012579
tech_tf_development_platform_proprietary,-0.07146620984787112
tech_tf_language_type_3GL,0.09279038181482586
tech_tf_language_type_4GL,0.02907037271823891
tech_tf_language_type_5GL,0.017730613355009594
tech_tf_language_type_APG,0.029315183853824537
tech_tf_language_type_Missing,0.07816922047937241
_case_tool_used_don_t_know,0.0038469297986240616
_case_tool_used_no,0.06725513716798237
_case_tool_used_yes,0.04465428336456766
tech_tf_architecture_don_t_know,0.04424176053730788
tech_tf_architecture_no,-0.002597093162774629
tech_tf_architecture_not_applicable,-0.005346646277645794
tech_tf_architecture_yes,0.0508608845482687
tech_tf_dbms_used_no,0.022180190381499557
tech_tf_dbms_used_yes,-0.031612276313940486
