feature,weight
intercept,-1.922064582868088e-16
project_prf_year_of_project,0.03145266015008623
external_eef_industry_sector,-0.06239421450283561
external_eef_organisation_type,0.09744187702470727
project_prf_application_type,0.0625280689264528
tech_tf_primary_programming_language,0.0018543842904012395
project_prf_functional_size,0.18096602932559902
project_prf_relative_size,-0.38413567299144014
project_prf_normalised_work_effort_level_1,0.31513055448797717
project_prf_team_size_group,0.040160424317929676
project_prf_max_team_size,0.20621789541935734
process_pmf_development_methodologies,-0.13018685752954554
process_pmf_docs,0.02221895784987799
tech_tf_tools_used,-0.012701132806865046
external_eef_data_quality_rating_b,-0.025008529486413994
project_prf_application_group_business_application,-0.057093110414517506
project_prf_application_group_business_application__infrastructure_software,-0.002823489028970289
project_prf_application_group_infrastructure_software,-0.019085044292157124
project_prf_application_group_mathematically_intensive_application,-0.003954652358726822
project_prf_application_group_mathematically_intensive_application_1,0.029391011429023825
project_prf_application_group_real_time_application,0.04854299125521803
project_prf_development_type_new_development,0.08944199433022847
project_prf_development_type_re_development,0.04197364198579729
tech_tf_development_platform_hand_held,-0.005016644603492722
tech_tf_development_platform_mf,0.06613261243818475
tech_tf_development_platform_mr,0.03142722273601564
tech_tf_development_platform_multi,0.005042621218794149
tech_tf_development_platform_pc,-0.042127486937067936
tech_tf_development_platform_proprietary,-0.0644430979552987
tech_tf_language_type_3GL,0.094848212743183
tech_tf_language_type_4GL,0.017748410601932694
tech_tf_language_type_5GL,0.014017309852807866
tech_tf_language_type_APG,0.028231767895942658
tech_tf_language_type_Missing,0.08389591775316851
_case_tool_used_don_t_know,-0.00422303107768577
_case_tool_used_no,0.058187957260793045
_case_tool_used_yes,0.034017554869878376
tech_tf_architecture_don_t_know,0.04738119716599613
tech_tf_architecture_no,0.008936602275327138
tech_tf_architecture_not_applicable,-0.0041167938578989625
tech_tf_architecture_yes,0.05636283560884218
tech_tf_dbms_used_no,0.02510414913654322
tech_tf_dbms_used_yes,-0.025108081147988764
