feature,shap_importance
project_prf_normalised_work_effort_level_1,0.6084251934419472
project_prf_functional_size,0.09167649508188398
project_prf_relative_size,0.08354840207236568
project_prf_max_team_size,0.03724843536254428
process_pmf_docs,0.003889926400573244
external_eef_organisation_type,0.0036877694208299243
project_prf_year_of_project,0.003387084849804281
project_prf_application_type,0.0027440619967214258
project_prf_team_size_group,0.0027013262087419534
project_prf_development_type_new_development,0.0022712184221998556
external_eef_industry_sector,0.0022341644258344396
project_prf_application_group_business_application,0.0015453630724174892
tech_tf_development_platform_mf,0.0015382297141625831
tech_tf_tools_used,0.00138177686176575
tech_tf_language_type_4GL,0.0009244231906902552
process_pmf_development_methodologies,0.0008681109836047781
tech_tf_primary_programming_language,0.0006279372469088899
_case_tool_used_yes,0.0006083406303962333
tech_tf_architecture_yes,0.0006040264795022371
tech_tf_dbms_used_yes,0.0005131053171605251
project_prf_application_group_real_time_application,0.00044637851701288643
tech_tf_language_type_Missing,0.00036117716761925833
project_prf_application_group_mathematically_intensive_application_1,0.00011561242781705038
tech_tf_language_type_APG,0.00011363353788519533
tech_tf_language_type_3GL,5.7256365595137e-05
_case_tool_used_no,5.32865363521311e-05
tech_tf_architecture_don_t_know,3.577739135103284e-05
tech_tf_architecture_not_applicable,1.0815642370567153e-05
project_prf_development_type_re_development,2.5057579982610065e-06
tech_tf_dbms_used_no,0.0
external_eef_data_quality_rating_b,0.0
tech_tf_architecture_no,0.0
project_prf_application_group_business_application__infrastructure_software,0.0
tech_tf_development_platform_mr,0.0
tech_tf_development_platform_multi,0.0
tech_tf_development_platform_hand_held,0.0
project_prf_application_group_mathematically_intensive_application,0.0
tech_tf_language_type_5GL,0.0
project_prf_application_group_infrastructure_software,0.0
tech_tf_development_platform_proprietary,0.0
tech_tf_development_platform_pc,0.0
_case_tool_used_don_t_know,0.0
