feature,mean_importance
process_pmf_development_methodologies,-0.001139529480151985
tech_tf_dbms_used_yes,-0.0003302728215170983
tech_tf_tools_used,-0.00023172255495304274
tech_tf_language_type_APG,-0.00015870981354823148
tech_tf_architecture_don_t_know,-0.0001283194064056456
tech_tf_development_platform_multi,-6.134557803881835e-05
tech_tf_language_type_4GL,-5.314909441655746e-05
tech_tf_language_type_Missing,-2.088044717314802e-05
project_prf_development_type_re_development,-4.432933566174413e-06
project_prf_application_group_business_application__infrastructure_software,0.0
tech_tf_dbms_used_no,0.0
project_prf_application_group_mathematically_intensive_application,0.0
tech_tf_language_type_5GL,0.0
tech_tf_architecture_not_applicable,0.0
tech_tf_development_platform_hand_held,0.0
project_prf_application_group_infrastructure_software,7.347126415764571e-06
tech_tf_development_platform_proprietary,1.2282443339810268e-05
tech_tf_development_platform_pc,6.506242554177588e-05
project_prf_development_type_new_development,8.653202716678715e-05
tech_tf_development_platform_mf,0.0001956322857597559
_case_tool_used_no,0.00020105048561839812
project_prf_application_group_real_time_application,0.00021359010151708325
tech_tf_language_type_3GL,0.00034794230683420633
project_prf_application_group_mathematically_intensive_application_1,0.00042526312326228303
_case_tool_used_don_t_know,0.0005284393860662123
project_prf_application_group_business_application,0.0005370658038941171
tech_tf_architecture_yes,0.000688839116367465
tech_tf_development_platform_mr,0.0007102774099154718
external_eef_data_quality_rating_b,0.0007231213838607614
tech_tf_primary_programming_language,0.0007979290117382367
project_prf_team_size_group,0.0008969559896047155
tech_tf_architecture_no,0.0009227623750890743
_case_tool_used_yes,0.0012625553887032168
project_prf_year_of_project,0.001852759984994934
process_pmf_docs,0.002190115162110186
external_eef_industry_sector,0.004022858260740213
project_prf_application_type,0.005292558461763026
external_eef_organisation_type,0.020517883199960597
project_prf_relative_size,0.021806560684444077
project_prf_max_team_size,0.04218022791067065
project_prf_functional_size,0.04627397481712339
project_prf_normalised_work_effort_level_1,1.3550514084812981
