Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,621.2417,742478.4658,861.6719,-6.3167,0.9495,1.3624
1,914.3391,1549253.3991,1244.6901,0.5978,0.6227,0.6424
2,4185.2242,39374834.0228,6274.937,0.2169,0.8878,2.0688
3,1587.3423,4096091.6758,2023.8804,0.9196,2.4186,18.693
4,1807.3867,17161842.1191,4142.6854,-1.0104,0.6052,1.0458
5,1403.8051,3909307.4149,1977.1969,-3.5097,1.8436,7.0006
6,10717.5816,461724378.1794,21487.7728,0.025,1.9003,1.0825
7,534.1932,696659.6451,834.6614,-6.7925,0.9108,1.6856
8,753.5291,2321667.7537,1523.702,-16.4204,1.0368,1.927
9,1175.264,2187642.9087,1479.0683,0.6878,1.201,3.3281
Mean,2369.9907,53376415.5585,4185.0266,-3.1603,1.2376,3.8836
Std,2956.8132,136597790.5293,5988.4863,5.2044,0.5773,5.2351
