Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3004.5966,19391345.159,4403.5605,0.3476,1.5683,7.176
1,3336.9365,25598255.6559,5059.4719,0.3669,1.653,10.256
2,2895.5543,18010077.5561,4243.8282,0.4167,1.7133,9.8047
3,3182.9292,23685184.2722,4866.7427,0.2826,1.6204,7.35
4,2858.4257,17473215.4409,4180.0975,0.3724,1.7084,9.9327
5,3092.9661,22614001.2687,4755.4181,0.4451,1.7322,10.0323
6,3054.4505,23958647.538,4894.7571,0.3891,1.6552,8.9596
7,3086.9445,23820399.277,4880.6146,0.4055,1.6729,9.246
8,2877.9664,17980553.8118,4240.3483,0.3759,1.735,12.2083
9,3009.0823,21964559.3994,4686.6363,0.3912,1.6784,8.2758
Mean,3039.9852,21449623.9379,4621.1475,0.3793,1.6737,9.3241
Std,140.0414,2822389.879,307.6028,0.0415,0.0497,1.4156
