Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3011.8381,19405169.3282,4405.1299,0.3471,1.5672,7.1651
1,3342.7256,25629579.8799,5062.5665,0.3661,1.6581,10.4047
2,2900.2756,18039400.3446,4247.2815,0.4157,1.7266,9.8754
3,3193.0113,23741156.8215,4872.4898,0.2809,1.6133,7.3632
4,2863.0014,17477721.3233,4180.6365,0.3722,1.7044,10.0037
5,3098.664,22635152.9587,4757.6415,0.4446,1.7337,10.056
6,3061.084,23977575.77,4896.6903,0.3886,1.6618,9.1956
7,3090.3048,23804901.3093,4879.0267,0.4059,1.6786,9.2557
8,2886.0869,18027800.3658,4245.9157,0.3743,1.7401,12.2527
9,3015.6627,22009327.9362,4691.41,0.39,1.6747,8.2654
Mean,3046.2654,21474778.6038,4623.8788,0.3785,1.6759,9.3837
Std,140.3586,2822547.6647,307.446,0.0418,0.0521,1.4373
