Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3126.6984,25499137.7598,5049.6671,0.3864,1.7227,9.7809
1,2965.3123,20089882.8166,4482.1739,0.3813,1.6814,9.9559
2,2986.1411,18136970.0984,4258.7522,0.3578,1.832,13.0303
3,3064.4003,22597948.0775,4753.7299,0.3799,1.7908,14.4411
4,2982.2934,21574177.0895,4644.8011,0.4061,1.678,9.7018
5,2934.5914,20030335.6797,4475.5263,0.3661,1.8539,13.4193
6,2910.3202,20652069.91,4544.4549,0.4232,1.6058,8.156
7,3246.934,22396080.7599,4732.4498,0.3284,1.6037,8.3261
8,3187.3563,21462047.1199,4632.7149,0.3186,1.6926,10.093
9,3053.157,19682278.0193,4436.4713,0.441,1.7293,11.1557
Mean,3045.7205,21212092.7331,4601.0741,0.3789,1.719,10.806
Std,105.9388,1914706.3141,205.4497,0.0366,0.0813,2.0442
