Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3455.362,30113234.3273,5487.5527,0.2071,2.0981,34.4811
1,3499.142,27194768.2139,5214.8603,0.205,1.9698,24.7265
2,3290.0513,23323747.9366,4829.4666,0.2194,2.0768,27.2831
3,3527.0991,27119456.8884,5207.6345,0.1889,2.0092,25.1573
4,3224.3947,22431262.1014,4736.1653,0.1757,1.9317,21.6646
5,3396.7516,24608835.3852,4960.7293,0.2067,1.8872,21.5074
6,3311.0784,21909802.1795,4680.7908,0.1808,2.0795,33.1255
7,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
8,3334.4811,22352626.9922,4727.8565,0.2009,2.0694,35.2991
9,3522.1367,27919793.3674,5283.9184,0.179,1.9765,31.2728
Mean,3056.0497,22697352.7392,4512.8974,0.1763,1.8098,25.4517
Std,1023.5274,8012969.3065,1526.7971,0.0604,0.607,9.7618
