Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,146.1955,58335.1111,241.5266,0.4251,0.7558,0.976
1,803.1968,2372221.2009,1540.2017,0.3842,0.6056,0.4754
2,3564.9,51400418.4149,7169.4085,-0.0223,1.166,1.0387
3,3201.9647,46455744.4425,6815.8451,0.0882,1.6158,4.0789
4,1463.9506,7809978.725,2794.6339,0.0851,1.409,3.2433
5,678.5891,665333.2649,815.6796,0.2325,1.4122,3.2502
6,10187.8615,573806300.7743,23954.2543,-0.2117,1.5785,0.4894
7,269.2526,129956.5957,360.4949,-0.4536,1.3591,3.7569
8,259.3705,157568.9925,396.9496,-0.1823,1.0307,1.816
9,823.3831,1538782.3709,1240.4767,0.7804,0.9147,1.359
Mean,2139.8664,68439463.9893,4532.9471,0.1126,1.1847,2.0484
Std,2916.3537,169494450.2166,6920.3941,0.3412,0.3301,1.3236
