Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,3118.3081,23014967.7655,4797.3918,0.242,1.9998,20.0857
1,3417.2659,29277064.6105,5410.8285,0.3144,1.9292,18.3774
2,3212.847,21190958.3154,4603.3638,0.2905,1.8712,14.1064
3,3524.2496,27111324.385,5206.8536,0.2965,2.0069,20.6502
4,3326.6349,23040173.973,4800.0181,0.2486,1.9868,19.1974
5,3289.7006,22938050.6499,4789.3685,0.2518,1.8446,13.5198
6,3375.1433,26314122.9316,5129.7293,0.3055,1.8554,15.6237
7,3183.3202,19777166.4163,4447.1526,0.2667,2.1037,22.0018
8,3361.7733,24886705.4558,4988.6577,0.3038,1.8771,15.7025
9,3476.6472,30020017.1461,5479.0526,0.2454,1.919,15.4888
Mean,3328.589,24757055.1649,4965.2416,0.2765,1.9394,17.4754
Std,123.1137,3208126.7531,321.6062,0.027,0.0791,2.8049
