Fold,MAE,MSE,RMSE,R2,RMSLE,MAPE
0,135.9469,46829.3322,216.4009,0.5385,0.4374,0.2666
1,1466.7647,5254699.9256,2292.3132,-0.364,1.2434,0.4813
2,3684.8165,53027291.8378,7281.9841,-0.0546,1.5444,0.4843
3,3124.045,47874554.8013,6919.1441,0.0604,1.0874,0.7277
4,1625.526,10671443.6574,3266.7176,-0.2501,2.1441,0.6806
5,509.3796,653093.1611,808.1418,0.2466,1.0328,1.4041
6,11011.5309,602546946.3303,24546.8317,-0.2724,3.0101,0.5958
7,85.981,15045.4589,122.6599,0.8317,0.3405,0.3526
8,199.6437,106954.6896,327.0393,0.1975,0.8102,1.0255
9,1331.5749,6421111.3689,2533.9912,0.0836,1.1222,1.2963
Mean,2317.5209,72661797.0563,4831.5224,0.1017,1.2773,0.7315
Std,3126.8888,177637970.1348,7022.691,0.3551,0.7581,0.3691
