feature,AdaBoostRegressor,DecisionTreeRegressor,ExtraTreesRegressor,OrthogonalMatchingPursuit,avg_importance
Project_PRF_Total_project_cost,0.0004291336647107,5.771418796406394e-07,0.0,0.0,0.00010742770164758517
Project_PRF_Development_Type_New_Development,0.0003750148519125,0.0,0.0,0.0,9.3753712978125e-05
Project_PRF_Functional_Size,0.0003366275358395,0.0,0.0,0.0,8.4156883959875e-05
External_EEF_Organisation_Type_government,0.0,0.0003172120366841,0.0,0.0,7.9303009171025e-05
tech_tf_client_server_yes,0.0,0.0,0.0002597895230593,0.0,6.4947380764825e-05
Project_PRF_Normalised_PDR_ufp,0.0002320651790782,5.509439098445048e-06,0.0,0.0,5.939365454416126e-05
Project_PRF_Defect_Density,0.0002056920645924,0.0,0.0,0.0,5.14230161481e-05
Tech_TF_Client_Roles_data entry & validation; data retrieval & presentation; web/html browser,0.000197393742304,0.0,0.0,0.0,4.9348435576e-05
project_prf_relative_size_m1,0.0,0.0,0.0001886507543528,0.0,4.71626885882e-05
Project_PRF_Speed_of_Delivery,0.0001424195634273,2.2909618374897583e-05,0.0,0.0,4.13322954505494e-05
external_eef_industry_sector_electronics_computers,0.0,0.0,0.0001294321514618,0.0,3.235803786545e-05
external_eef_industry_sector_service industry,0.0,0.0,0.0001219743339693,0.0,3.0493583492325e-05
tech_tf_primary_programming_language_oracle,0.0,0.0,7.60001591961056e-05,0.0,1.90000397990264e-05
Project_PRF_CASE_Tool_Used_No,4.879465758363217e-05,0.0,0.0,0.0,1.2198664395908042e-05
project_prf_relative_size_xxs,0.0,0.0,4.429968864340669e-05,0.0,1.1074922160851672e-05
Project_PRF_Development_Type_Re_development,3.431522980852608e-05,0.0,0.0,0.0,8.57880745213152e-06
tech_tf_development_platform_proprietary,0.0,0.0,2.379817833387883e-05,0.0,5.949544583469708e-06
tech_tf_primary_programming_language_proprietary_agile_platform,0.0,0.0,2.292625470667088e-05,0.0,5.73156367666772e-06
tech_tf_language_type_5GL,0.0,0.0,1.701711244617413e-05,0.0,4.2542781115435326e-06
Tech_TF_Architecture_Stand_alone,0.0,1.652146024396296e-05,0.0,0.0,4.13036506099074e-06
tech_tf_tools_used,0.0,0.0,1.3821046066429351e-05,0.0,3.455261516607338e-06
external_eef_organisation_type_community services; government,0.0,0.0,7.215803226730996e-06,0.0,1.803950806682749e-06
tech_tf_primary_programming_language_pl_i,0.0,0.0,6.614486291170079e-06,0.0,1.6536215727925196e-06
external_eef_organisation_type_government,0.0,0.0,4.955334270681022e-06,0.0,1.2388335676702555e-06
Project_PRF_Normalised_Level_1_PDR_ufp,0.0,4.874710087968558e-06,0.0,0.0,1.2186775219921396e-06
external_eef_industry_sector_banking,0.0,0.0,4.484595481089852e-06,0.0,1.121148870272463e-06
project_prf_relative_size_s,0.0,0.0,4.408060931664051e-06,0.0,1.1020152329160127e-06
project_prf_team_size_group_3_4,0.0,0.0,4.277146228208225e-06,0.0,1.0692865570520562e-06
