feature,importance,model,importance_type,rank
tech_tf_server_roles_html/web server; security/authentication,1.3492315848678549e-06,GradientBoostingRegressor,feature_importances_,66
project_prf_development_type_re_development,1.3124368613106234e-06,GradientBoostingRegressor,feature_importances_,67
tech_tf_primary_programming_language_c_,1.3000032399812574e-06,GradientBoostingRegressor,feature_importances_,68
tech_tf_dbms_used_yes,1.2839980170210977e-06,GradientBoostingRegressor,feature_importances_,69
external_eef_organisation_type_community services; government; public administration,1.2424514434690397e-06,GradientBoostingRegressor,feature_importances_,70
process_pmf_development_methodologies_agile_development__personal_software_process_psp__unified_process,1.217088348088341e-06,GradientBoostingRegressor,feature_importances_,71
external_eef_organisation_type_banking,1.1609074699086305e-06,GradientBoostingRegressor,feature_importances_,72
project_prf_team_size_group_2,1.0851061247811888e-06,GradientBoostingRegressor,feature_importances_,73
external_eef_organisation_type_community services; government,9.12551872071516e-07,GradientBoostingRegressor,feature_importances_,74
project_prf_application_type_catalogue/register of things or events,8.862833464838122e-07,GradientBoostingRegressor,feature_importances_,75
process_pmf_development_methodologies_agile_development,8.852308428318211e-07,GradientBoostingRegressor,feature_importances_,76
tech_tf_architecture_stand_alone,7.665179333905264e-07,GradientBoostingRegressor,feature_importances_,77
project_prf_application_group_mathematically_intensive_application,5.274623227067486e-07,GradientBoostingRegressor,feature_importances_,78
external_eef_organisation_type_high tech,3.735324690348783e-07,GradientBoostingRegressor,feature_importances_,79
tech_tf_primary_programming_language_pl_i,3.6658263630382217e-07,GradientBoostingRegressor,feature_importances_,80
project_prf_relative_size_l,3.623418086097154e-07,GradientBoostingRegressor,feature_importances_,81
external_eef_industry_sector_government,2.828813066973602e-07,GradientBoostingRegressor,feature_importances_,82
process_pmf_development_methodologies_agile_development__scrum,1.855984253215029e-07,GradientBoostingRegressor,feature_importances_,83
tech_tf_development_platform_mr,1.5033472451037333e-07,GradientBoostingRegressor,feature_importances_,84
tech_tf_server_roles_database server,1.2177112685340885e-07,GradientBoostingRegressor,feature_importances_,85
external_eef_organisation_type_medical and health care,1.1514988432793826e-08,GradientBoostingRegressor,feature_importances_,86
"project_prf_application_type_customer billing; document management; financial transaction process/accounting; online analysis and reporting; reservation system eg. airline, hotel; stock control & order processing; workflow support & management",0.0,GradientBoostingRegressor,feature_importances_,87
process_pmf_development_methodologies_agile_development__unified_process,0.0,GradientBoostingRegressor,feature_importances_,88
process_pmf_development_methodologies_agile_development__joint_application_development_jad__multifunctional_teams,0.0,GradientBoostingRegressor,feature_importances_,89
project_prf_team_size_group_Missing,0.0,GradientBoostingRegressor,feature_importances_,90
